Variant,Qtde Casos,Conformance Score Medio,Rework Score Medio,Pct Casos
In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done,427,0.6667000000000001,0.0,43.262411347517734
in analytics > In Development > Staging > QA Approved Staging > Ready for Production > Done,46,0.5,0.0,4.660587639311044
Triagem,40,0.0,0.0,4.052684903748734
In Progress > Ready To Staging > Staging > QA Approved > Ready for Production > Done,39,0.5833,0.0,3.951367781155015
Cancelled > Done,36,0.5,0.0,3.64741641337386
In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Done,26,0.5625,0.0,2.634245187436677
Backlog > In Progress > Ready To Staging > Staging > QA Approved > Ready for Production > Done,22,0.5,0.0,2.2289766970618032
in analytics > In Development > In Staging > Ready for Production > Done,15,0.5,0.0,1.5197568389057752
In Progress > Ready To Staging > In Staging > Ready for Production > Done,13,0.8,0.0,1.3171225937183384
in analytics > In Development > In Validation > Done,12,0.25,0.0,1.21580547112462
In Progress > Ready To Staging > In Staging > Prioritized > Backlog > In Staging > Ready for Production > Done,11,0.625,1.0,1.1144883485309016
In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > ready for homolog > Ready To Staging > Staging > Ready for Production > Done,11,0.6,1.0,1.1144883485309016
Backlog > In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done,9,0.6,0.0,0.911854103343465
READY FOR DEVELOPMENT,9,0.0,0.0,0.911854103343465
in analytics > In Development > Staging > QA Approved > Ready for Production > Done,9,0.3333,0.0,0.911854103343465
In Progress > Ready for Staging > Staging > In Staging > Ready for Production > Done,8,0.5833,0.0,0.8105369807497468
in analytics > In Development > In Validation > QA Approved Staging > Ready for Production > Done,8,0.5,0.0,0.8105369807497468
Backlog > In Progress > Ready To Staging > Homologation > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Done,7,0.5,2.0,0.7092198581560284
Backlog > Triagem,7,0.0,0.0,0.7092198581560284
In Progress > Ready for Staging > Staging > Ready for Production > Production > Done,7,0.5,0.0,0.7092198581560284
In Progress > Ready To Staging > Done,6,0.6667,0.0,0.60790273556231
In Progress > Ready To Staging > Staging > QA Approved > Done,6,0.5,0.0,0.60790273556231
In Progress > Ready To Staging > Staging > Ready for Production > Done,6,0.6999999999999998,0.0,0.60790273556231
Backlog > Cancelled > Done,5,0.3333,0.0,0.5065856129685917
In Progress > Cancelled > Done,5,0.6667,0.0,0.5065856129685917
