Metrica,Valor
Casos analisados,979.0
Casos finalizados (Done),896.0
Casos conformes (basico),34.0
Taxa conformidade basica (%),3.47
Casos com retrabalho,92.0
Taxa retrabalho (%),9.4
Rework score medio,0.177
Conformance score medio,0.5456
