From,To,Count,PerfSeconds,PerfHours
Staging,Cancelled,1,14057.995,3.9049986111111115
Backlog,READY FOR DEVELOPMENT,24,9195.129958333333,2.5542027662037037
Ready for code review,CODE REVIEW,31,8461.571967741935,2.350436657706093
in analytics,Cancelled,1,7532.323,2.0923119444444445
Ready To Staging,Ready To Staging,2,5434.004,1.5094455555555555
In Progress,To Do,1,660.437,0.18345472222222223
Done,Ready for Production,1,471.394,0.13094277777777777
QA Approved,Staging,3,444.46166666666664,0.12346157407407407
Prioritized,Backlog,12,277.68958333333336,0.07713599537037037
Homolog,In Progress,1,222.611,0.061836388888888885
In Progress,In Progress,1,202.84,0.05634444444444445
Backlog,In Staging,11,145.18163636363636,0.04032823232323232
In Validation,in analytics,1,119.01,0.033058333333333335
In Progress,In Backlog,1,102.46,0.02846111111111111
Ready to Analytics,Homolog,2,43.8535,0.012181527777777777
Staging,Ready To Staging,1,38.993,0.010831388888888889
Staging,In Development,1,21.365,0.0059347222222222214
Ready To Staging,In Progress,2,19.292,0.00535888888888889
Cancelled,in analytics,1,18.246,0.005068333333333333
Staging,In Progress,1,16.51,0.004586111111111111
Ready for Production,QA Approved Staging,2,6.851500000000001,0.0019031944444444446
Ready for Production,QA Approved,1,3.56,0.000988888888888889
Backlog,Done,1,3.453,0.0009591666666666667
Ready for build,In Validation,1,3.286,0.0009127777777777778
READY FOR DEVELOPMENT,Backlog,1,2.518,0.0006994444444444444
