Etapa,Qtde Issues,Media Dias,Mediana Dias,P90 Dias,Max Dias
Sprint Backlog,55,10.73,3.0,21.0,77.0
QA Approved Staging,987,3.72,2.0,8.0,53.0
Ready for production,1470,2.59,1.0,7.0,142.0
