Metrica,Valor
Casos analisados,1081.0
Casos finalizados (Done),1021.0
Casos conformes (basico),41.0
Taxa conformidade basica (%),3.79
Casos com retrabalho,118.0
Taxa retrabalho (%),10.92
Rework score medio,0.263
Conformance score medio,0.5311
